,review,rating
0,"Good product.. I thought its not comfort to me, but now It is really more comfort to cook.READ MORE",5
1,Good quality and quick delivery. Material is stronger than expected. Would highly recommend the product. Reasonable price too. Go for it 🥳READ MORE,5
2,Nice product from Butterfly used a good quality plastic & blades. Got it for just 136/- useful for fast cutting veggies.READ MORE,4
3,"It's Very useful and Time saver.  But it's very sharp blade. Beawar when cleaning. My mom love it. Easy to cut nice. Dont put full vegetables, cut it off and put into the cutter.READ MORE",5
4,I was ordering this for my motherShe loved it lot its works very fluently.She cutting all vegetables with this.Its very good product.it helps time managing for every women.I got same product as shown as this picture   Thank u so much flipkart for this wonderful offerREAD MORE,5
5,Very useful for the kitchen. it has very good quality. Thanks butterfly n also thank you flipkart for the very fast delivery. Good job by delivery boy. thank you 😊READ MORE,5
6,"Good product... I thought that for the employees who are cooking themself it was a nice Chopping of Vegetables, Onion, Cabbage, Carrot, Chili, Ginger and more. Easy to use and easy to clean. Fine Chopping, handy for quick cooking. Good base unit grip. Overall Excellent kitchen-friendly tool. Thanks for well thought over Good Design and user-friendly equipment in KITCHEN.....BUY IT...... AND SAVE THE TIME IN KITCHEN...READ MORE",5
7,"my primary intention was to chop beetroot when i bought this..blades didn’t cut through even half inch cube pieces,had to make it even smaller and also blades will turn only if we put 3-4 such pieces (approximately 1/4 inch cube pieces), though i bought the 900ml one, it could process only that much pieces at a time and had to open and add pieces often..it might work well with other veggies like onions but haven’t tried yetREAD MORE",3
8,It is a awesome product. Writing this review after a week of usage. My mother loved the product and it is easy and strong. Going to order one more. You can go ahead with this.READ MORE,5
9,"Fantastic product,  very nice chopping, good built quality, five blades extremely sharp,  good grip for bottom,  lid easy to close and open,  overall good product,  just buy it blindly.READ MORE",5
10,"Small god .. pretty usable for a small kitchen.But you could have really provide an additional set of blades ( then nobody's gonna buy this twice ha ha). This chopper is basically diff replica of a toy from from our childhood, never thought it can be used in veg cutters.For 400 it's overrated there is no machinary, parts, anything worth more than a 170 rs.READ MORE",4
11,"amazing product .thank you flipcart.high quality material,and sharper blades ,very fast finest chopping ,overall it's the bestREAD MORE",5
12,This is the best and affordable product. I am telling this after using for 4 months this is the bestREAD MORE,5
13,Today I received this amazing and wonderful chopper...it's too good for vegetable chopping... thank you butterfly....READ MORE,5
14,"Excellent product Easy to use..Very helpful in chopping onions, tomatoes .I tried chopping  broad beans too.READ MORE",4
15,Its awesomeREAD MORE,4
16,"▶️ Delivered before estimated time with proper packaging & no harm to the product.▶️ Perfect chopper for kitchen💜💕💙💚▶️ Nice chopping & time saving, it’s navy blue in color.👏🏼 Appreciating Flipkart & Delivery person for servicing us this days... ❤️🥰READ MORE",5
17,Great..love it..durable..and quality is amazing..READ MORE,5
18,More satisfied with this product... Thanks for the delivery person .. He is soo cool..READ MORE,5
19,terrific just amazing quality go for itREAD MORE,5
20,"Worth price. Have brought 900ml one at 399 on 19th June 2020.Have chopped tomatoes, onions and fried badam. It sets standards and lived up to the expectations.Thanks to Butterfly for the flawless product and Flipkart for the quick delivery within one day after order placed.READ MORE",5
21,Good product ....READ MORE,5
22,Best results 👍👍👍Used ginger garlic  cut👍👍👍The best Budget product 👍👍👍I ❤ THISREAD MORE,5
23,Nice  product but  one  set  bled...READ MORE,4
